add_code,base_code,delta,cn_name,en_name
84080939,84080938,1,大慈大悲的修女,The Forgiving Maiden
84206436,84206435,1,冰结界的纹章,Medallion of the Ice Barrier
84257640,84257639,1,治疗之神 迪安·凯特,Dian Keto the Cure Master
85138717,85138716,1,救援兔,Rescue Rabbit
87322378,87322377,1,TM-1火箭炮蜘蛛,Launcher Spider
88264979,88264978,1,真红眼暗钢龙,Red-Eyes Darkness Metal Dragon
89631134,89631139,-5,青眼白龙,Blue-Eyes White Dragon
89631135,89631139,-4,青眼白龙,Blue-Eyes White Dragon
89631136,89631139,-3,青眼白龙,Blue-Eyes White Dragon
89631137,89631139,-2,青眼白龙,Blue-Eyes White Dragon
89631138,89631139,-1,青眼白龙,Blue-Eyes White Dragon
89631140,89631139,1,青眼白龙,Blue-Eyes White Dragon
89631141,89631139,2,青眼白龙,Blue-Eyes White Dragon
89631142,89631139,3,青眼白龙,Blue-Eyes White Dragon
89631143,89631139,4,青眼白龙,Blue-Eyes White Dragon
89631144,89631139,5,青眼白龙,Blue-Eyes White Dragon
89943724,89943723,1,元素英雄 新宇侠,Elemental HERO Neos
89943725,89943723,2,元素英雄 新宇侠,Elemental HERO Neos
89943726,89943723,3,元素英雄 新宇侠,Elemental HERO Neos
90330454,90330453,1,魔女狩猎,Last Day of Witch
90740330,90740329,1,挑衅,Taunt
90960359,90960358,1,卡通黑魔术少女,Toon Dark Magician Girl
91152257,91152256,1,精灵剑士,Celtic Guardian
91152258,91152256,2,精灵剑士,Celtic Guardian
91998120,91998119,1,XYZ-神龙炮,XYZ-Dragon Cannon
91998121,91998119,2,XYZ-神龙炮,XYZ-Dragon Cannon
91998122,91998119,3,XYZ-神龙炮,XYZ-Dragon Cannon
93717134,93717133,1,银河眼光子龙,Galaxy-Eyes Photon Dragon
93717135,93717133,2,银河眼光子龙,Galaxy-Eyes Photon Dragon
94145022,94145021,1,小丑与锁鸟,Droll & Lock Bird
96363154,96363153,1,调律,Tuning
97077564,97077563,1,活死人的呼声,Call of the Haunted
97268403,97268402,1,效果遮蒙者,Effect Veiler
97268404,97268402,2,效果遮蒙者,Effect Veiler
97489702,97489701,1,真红莲新星龙,Red Nova Dragon
97590748,97590747,1,灯之魔精,La Jinn the Mystical Genie of the Lamp
97651499,97651498,1,魔轰神 路里,Fabled Lurrie
98502114,98502113,1,超魔导剑士-黑魔导剑士,Dark Paladin
98502115,98502113,2,超魔导剑士-黑魔导剑士,Dark Paladin
98502116,98502113,3,超魔导剑士-黑魔导剑士,Dark Paladin
98502117,98502113,4,超魔导剑士-黑魔导剑士,Dark Paladin
99267151,99267150,1,五神龙,Five-Headed Dragon
38033127,38033121,6,黑魔术少女,Dark Magician Girl
38033128,38033121,7,黑魔术少女,Dark Magician Girl
38033129,38033121,8,黑魔术少女,Dark Magician Girl
38033130,38033121,9,黑魔术少女,Dark Magician Girl
46986420,46986414,6,黑魔术师,Dark Magician
46986421,46986414,7,黑魔术师,Dark Magician
46986422,46986414,8,黑魔术师,Dark Magician
46986423,46986414,9,黑魔术师,Dark Magician
74677428,74677422,6,真红眼黑龙,Red-Eyes Black Dragon
74677429,74677422,7,真红眼黑龙,Red-Eyes Black Dragon
74677430,74677422,8,真红眼黑龙,Red-Eyes Black Dragon
74677431,74677422,9,真红眼黑龙,Red-Eyes Black Dragon
89631133,89631139,-6,青眼白龙,Blue-Eyes White Dragon
89631145,89631139,6,青眼白龙,Blue-Eyes White Dragon
89631146,89631139,7,青眼白龙,Blue-Eyes White Dragon
89631147,89631139,8,青眼白龙,Blue-Eyes White Dragon
89631148,89631139,9,青眼白龙,Blue-Eyes White Dragon
